Country Name,Hospital Name,Total No. of Patients,Cardiovascular,Cancer,Endocrinology and metabolic diseases,Neurological diseases,Mental health and behavioral disorders,Infectious diseases,Dermatology,Gastroenterology,Hematology and coagulation,Renal disease,Rheumatology,Urologic
Canada,Alberta Health Services,42296,2728,3745,3974,1532,2742,2417,1911,4069,3452,3492,3256,3274
Italy,Istituto Oncologico Veneto,41066,4020,5426,4732,2783,4749,1808,2286,1613,3898,3554,3600,4622
United Arab Emirates,American Hospital,38603,966,3818,3245,3145,2317,1500,5314,2081,5028,1991,4111,3894
Bangladesh,Apollo Hospital Dhaka,43601,4743,4952,4414,3546,3272,2622,4373,3404,2831,4056,2758,2728
United Kingdom,Royal Berkshire NHS Foundation Trust,36163,2582,3252,4713,1870,2170,3065,2725,3270,1587,4370,4290,1760
Japan,National Hospital Organization,27130,3483,1975,2083,1662,3343,2496,3596,3520,2396,3118,3434,2685
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,44485,5437,1267,2656,1819,4412,1644,3825,4902,2881,2770,4027,3913
United States,Cleveland Clinic,41058,2868,2884,4489,2325,4531,2882,4554,4026,1285,1756,1844,3053
Australia,Royal Children's Hospital,42859,3276,3080,4194,1489,1661,4439,2867,3570,1676,5008,2794,5481
Australia,Royal Children's Hospital,38608,3335,4647,2774,2348,2362,1980,2129,3816,4259,4079,3455,2387
Italy,Istituto Oncologico Veneto,40287,956,2789,4118,3676,4451,1624,1777,2624,2029,3903,3516,4053
Japan,National Hospital Organization,23069,4383,2275,1555,700,4716,2734,2245,3422,3115,4100,5214,1071
United Arab Emirates,American Hospital,33581,1244,1546,1686,2490,3760,1636,3135,4843,3036,2279,4893,3316
Canada,Alberta Health Services,33459,3042,877,4476,1106,1468,3403,1227,2752,3423,3849,3387,1563
Japan,National Hospital Organization,38645,4388,3092,3917,3551,1400,2501,4672,2946,3570,4489,3292,1487
Japan,National Hospital Organization,31388,3911,3597,1675,1548,2383,2154,2991,3177,2655,2755,-76,2481
India,AIIMS Delhi,31037,1472,3129,3365,2636,3956,808,3694,3178,3882,1406,2315,1898
Mexico,Grupo Médica Sur,32703,734,1835,1425,2543,2319,2251,4415,4253,4504,1627,4211,1369
Australia,Royal Children's Hospital,39818,1420,4280,2640,2609,2115,5962,2863,3342,2073,3269,5408,2996
United Arab Emirates,American Hospital,36698,1417,2444,3756,2487,1711,1934,3631,4437,2164,3155,5112,1649
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,41280,1742,3799,4095,1630,3950,1792,3196,820,2999,2853,1301,2925
Argentina,The Hospital Italiano de Buenos Aires,35603,2779,3928,3841,2991,1987,1772,726,1969,3326,2310,3000,3996
United States,Cleveland Clinic,39840,1972,1324,951,2594,1940,1739,5052,1872,2676,3389,4983,4462
Italy,Istituto Oncologico Veneto,41656,1152,3957,2559,3086,3709,1901,4018,5590,1249,2065,5368,4795
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,35082,3890,3784,4064,1365,5524,4490,2111,3404,4798,5002,2539,604
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,31152,3204,1287,1890,1110,3999,3631,2456,859,3838,3005,1026,1773
France,Assistance Publique Hôpitaux de Paris,30459,4729,524,2064,2164,3803,2705,1625,4910,766,3464,3520,1578
Italy,Istituto Oncologico Veneto,32297,1944,2070,2115,4031,1038,2433,488,2588,2634,3512,2346,1601
India,AIIMS Delhi,32415,3016,2863,2825,2179,2302,939,3940,3181,3707,3205,2987,884
United States,Cleveland Clinic,37275,5132,2695,1704,1663,4970,3515,3694,3686,1407,3181,2355,4926
Japan,National Hospital Organization,38044,3926,2762,3509,3659,2008,1416,4110,2812,2830,4031,1912,2347
Canada,Alberta Health Services,33425,5715,3491,4079,3038,3929,2124,3010,3256,2881,808,2420,1344
South Africa,Netcare Group,34820,2292,2501,2246,4278,4253,1617,2496,2291,2070,4464,3316,1092
United Kingdom,Royal Berkshire NHS Foundation Trust,49695,3046,4228,5043,4267,2426,2471,3274,3823,1109,4930,4701,4363
United States,Cleveland Clinic,45058,2560,4479,1746,3066,4955,2119,5850,3736,1668,3115,2402,3926
Argentina,The Hospital Italiano de Buenos Aires,42549,3005,2490,4896,3199,2028,2045,4035,3753,4145,1665,1429,1819
South Africa,Netcare Group,37940,808,4168,4849,2846,2106,1770,4877,2620,4368,3353,2952,3838
Germany,University Clinic Heidelberg,30094,2120,1698,1144,2528,1258,2319,1145,3989,1001,2920,6313,1065
Israel,Tel Aviv Sourasky Medical Center,34953,1078,3597,2973,886,4705,1715,2123,884,5132,2212,3256,1333
Bangladesh,Apollo Hospital Dhaka,39031,4958,2180,5021,2283,2456,4505,3371,3145,4403,427,3183,3224
Japan,National Hospital Organization,38967,3134,1875,1296,1427,4344,2380,5080,4801,1991,4514,2573,2747
Italy,Istituto Oncologico Veneto,40893,1585,2115,4793,4679,1171,5003,1815,3710,1801,4759,4547,4716
Brazil,INCA Instituto Nacional de Câncer,46621,1175,5113,5398,2958,2347,1932,4179,5319,4761,3760,2222,3301
Bangladesh,Apollo Hospital Dhaka,31224,3920,1485,491,2168,1517,4243,2563,2952,1916,2236,4082,3859
Argentina,The Hospital Italiano de Buenos Aires,33509,1988,3927,3932,3619,4027,1367,3204,1222,3227,2989,3510,1787
Bangladesh,Apollo Hospital Dhaka,38336,3663,1316,3717,3083,1729,2392,4034,4146,2973,1796,4167,3607
Japan,National Hospital Organization,37555,4850,1512,3865,1975,2631,2329,4957,3326,2554,3139,2239,3918
Italy,Istituto Oncologico Veneto,30865,1687,1975,4661,2520,3795,1701,4120,4330,2428,3654,2683,3259
United Kingdom,Royal Berkshire NHS Foundation Trust,32702,1607,2287,1677,2141,1816,1500,4515,3614,2890,3305,2121,914
Argentina,The Hospital Italiano de Buenos Aires,34368,1799,1838,1071,1874,2729,1435,3494,3024,2139,2311,2573,1753
France,Assistance Publique Hôpitaux de Paris,40236,4791,1090,4611,3224,2485,3085,2345,3221,1072,3717,2562,3810
United Arab Emirates,American Hospital,44420,5200,4808,3863,3599,1317,1937,2121,4348,3978,2141,4468,3879
Argentina,The Hospital Italiano de Buenos Aires,37163,549,3193,2008,3155,1415,1567,3122,524,2833,2592,3774,1360
Australia,Royal Children's Hospital,43651,4529,4071,4053,534,3088,4230,2167,4870,1456,2786,2404,2771
Mexico,Grupo Médica Sur,26356,3161,2720,2481,2525,4102,5378,1403,273,2357,3280,4015,2851
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,38378,2393,3783,3429,2075,2391,1430,3650,3462,3105,3385,2002,4143
Italy,Istituto Oncologico Veneto,47369,4462,4805,5251,4562,1969,2540,1101,4702,3457,5137,3627,5179
Canada,Alberta Health Services,28855,2989,1769,1441,385,4362,3824,3954,3817,3913,3350,2396,2036
Japan,National Hospital Organization,38358,2328,4559,3806,2442,3018,3685,5194,3444,4220,2349,1456,1641
United Kingdom,Royal Berkshire NHS Foundation Trust,37213,3553,2088,4371,2350,1620,1676,4570,4024,3530,994,1602,1633
United Arab Emirates,American Hospital,31244,3063,2377,1992,2702,4145,2251,5613,4628,4191,4194,5588,3988
Bangladesh,Apollo Hospital Dhaka,35327,3516,1077,2172,3104,2578,2369,1284,3616,1627,908,1703,625
Russia,Russian Children's Hospital Moscow,38328,3932,1882,3978,2740,2841,4398,3397,3052,2013,1138,5562,3060
Canada,Alberta Health Services,31725,895,1097,1078,2581,2802,1469,2021,4863,3847,1969,4976,4314
United States,Cleveland Clinic,31362,1462,2879,1076,4185,5394,2276,3348,3531,547,4059,2903,1739
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,42114,3957,2178,2093,1597,4721,3514,4765,1826,2078,3148,2791,3274
Australia,Royal Children's Hospital,39790,4451,5645,4252,3342,3751,5534,3290,2896,4692,2471,469,4138
India,AIIMS Delhi,33023,4326,3349,4363,3374,3141,3829,636,3656,2683,3109,1824,3147
Canada,Alberta Health Services,37499,4288,2170,2106,1758,2790,3710,2437,4584,3633,2128,4796,3729
Bangladesh,Apollo Hospital Dhaka,41232,3484,1959,5112,3135,2042,1543,1532,4372,2196,3510,3201,3775
South Africa,Netcare Group,28634,2122,3618,3931,3783,1126,995,2527,1591,3926,3046,977,4407
Russia,Russian Children's Hospital Moscow,43103,4274,1312,1782,3220,4502,5024,3888,1088,2927,2056,3772,3657
United Kingdom,Royal Berkshire NHS Foundation Trust,32392,2037,1924,3117,3456,2787,2232,3981,4623,1447,4003,4510,2682
Australia,Royal Children's Hospital,38398,2268,4610,1774,3279,1890,3902,2801,4225,3906,4998,2452,4463
Bangladesh,Apollo Hospital Dhaka,27629,3115,1004,1934,2648,3051,4331,2969,2307,3349,1181,4305,3329
United Arab Emirates,American Hospital,41844,1424,4378,2588,3224,2399,1629,5167,4239,2039,4030,4930,3078
United Arab Emirates,American Hospital,36883,1065,3374,1126,3016,990,836,5040,4589,4035,5242,2976,4630
Canada,Alberta Health Services,44687,4123,4294,4819,2825,4428,1978,4617,4153,3637,2029,1093,3296
India,AIIMS Delhi,30492,3804,4145,1160,1928,3236,3029,1801,3123,1329,2690,3306,2921
United Arab Emirates,American Hospital,35366,3873,4118,4824,1919,1577,1996,5235,1942,5485,3998,1347,4337
Mexico,Grupo Médica Sur,30133,668,974,1493,2449,2002,4464,2402,3111,2701,2775,4403,553
South Africa,Netcare Group,41770,3188,3887,4389,3643,2813,2436,5540,3833,3876,3965,4381,5151
Brazil,INCA Instituto Nacional de Câncer,33542,2243,1775,1073,1590,2246,2114,3984,3751,2981,2062,401,1918
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,36693,2435,2024,2251,1119,4474,2009,4322,4346,1316,2507,2230,1693
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,38222,4439,4266,4399,1198,4916,4339,3018,3487,2735,3073,2048,2159
France,Assistance Publique Hôpitaux de Paris,31441,5981,1953,2349,3382,716,4653,2631,5284,751,1529,2133,3677
Bangladesh,Apollo Hospital Dhaka,40899,1273,4089,3053,2450,2348,2299,3474,3012,2920,2512,2992,3102
Russia,Russian Children's Hospital Moscow,45547,3775,2442,1982,2661,4435,5126,2009,3870,2214,2272,5431,4084
India,AIIMS Delhi,24668,2156,1152,461,-90,4065,3602,2127,3992,861,1723,4320,705
United States,Cleveland Clinic,43385,3280,3470,1861,2340,3993,1232,4111,2091,2291,1775,2189,2591
Mexico,Grupo Médica Sur,27393,2616,2781,2675,2903,4955,2638,3456,1358,2628,3351,3198,3291
United States,Cleveland Clinic,32096,3390,3397,1942,3056,2803,1246,4354,3689,3215,1769,3669,4055
United Kingdom,Royal Berkshire NHS Foundation Trust,37829,1347,4026,4225,2765,1976,1761,1663,3399,1879,3847,2736,634
Germany,University Clinic Heidelberg,28969,2786,1000,4574,4739,1406,2314,697,4408,4242,3064,4432,3544
United States,Cleveland Clinic,44649,2428,2730,1782,3635,4228,4047,5909,1635,2623,2684,3234,4574
Brazil,INCA Instituto Nacional de Câncer,42449,2138,4817,4630,2826,3564,3101,150,3799,5102,2175,1165,4260
Japan,National Hospital Organization,28824,2158,1574,880,603,4644,4541,5530,4837,2388,1885,3391,62
Brazil,INCA Instituto Nacional de Câncer,23206,396,1884,1367,2685,2105,1228,1897,3197,3397,3022,2113,3836
Russia,Russian Children's Hospital Moscow,31557,3144,857,2922,2262,1060,4064,1181,3117,3748,3679,4009,2250
Italy,Istituto Oncologico Veneto,42677,1310,4136,3581,4487,1608,1696,4053,4133,1915,3295,3622,5162
Canada,Alberta Health Services,41136,2306,2907,3963,3359,2698,1457,4297,4456,4182,3556,5346,1994
Australia,Royal Children's Hospital,22511,1005,2503,1893,1660,1480,4584,1213,2214,1818,3024,2812,1391
Canada,Alberta Health Services,32114,4679,1711,1913,2502,3333,4068,3912,4291,2801,2434,5161,2939
Israel,Tel Aviv Sourasky Medical Center,39315,1958,3516,3071,2483,2074,1989,1448,3382,1970,2378,4911,3760
Bangladesh,Apollo Hospital Dhaka,39750,1740,4504,3849,2823,2247,2436,3369,4396,3404,3434,3436,3487
Japan,National Hospital Organization,36138,4383,2184,4164,1285,4164,1391,5115,2833,3717,2969,1555,757
Italy,Istituto Oncologico Veneto,39550,1802,2969,2629,4237,3107,4888,4433,4167,2995,2321,4314,3780
South Africa,Netcare Group,33742,3828,3114,4060,2673,2771,1814,2728,3188,4582,4097,3194,5095
Germany,University Clinic Heidelberg,35664,1115,4484,3456,4028,2328,964,2842,4237,4711,3348,2951,3854
Japan,National Hospital Organization,28415,1305,1810,1488,1285,4152,3813,2982,3978,3441,5565,2590,757
United States,Cleveland Clinic,39515,3944,3692,2968,2244,4049,5043,4073,2245,2847,2833,-157,2337
Australia,Royal Children's Hospital,36420,5398,1494,3630,3666,2499,5078,3268,3925,2448,4047,3899,2520
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,38892,2602,2373,2331,2365,4082,2078,3811,4685,935,3414,3913,3495
Argentina,The Hospital Italiano de Buenos Aires,37449,1390,1361,1784,3473,3672,1540,4085,3665,3803,3632,5838,2634
Mexico,Grupo Médica Sur,42847,1923,4393,5096,4292,2652,1899,5007,5131,1674,3912,4064,4437
Argentina,The Hospital Italiano de Buenos Aires,39660,1477,2065,4787,1609,1796,2376,2599,2325,3876,3940,3460,1455
Australia,Royal Children's Hospital,36552,4402,3540,4522,1151,3904,2476,5102,1648,1660,4644,4248,4847
Germany,University Clinic Heidelberg,35645,300,1534,3664,3062,2827,1638,1185,3101,1704,2552,3292,3657
Mexico,Grupo Médica Sur,30320,1532,1372,3775,3739,2408,2714,2439,2662,3821,3030,2205,3983
Russia,Russian Children's Hospital Moscow,42161,1840,4103,1992,3351,3935,2645,3884,1800,3195,2984,2882,4452
South Africa,Netcare Group,31887,684,1427,4502,2998,1090,809,2514,1845,3812,3561,2258,3668
Russia,Russian Children's Hospital Moscow,27323,3624,1617,1192,2084,4111,4738,2263,822,3640,3540,1837,938
Mexico,Grupo Médica Sur,31475,1455,1611,2510,2892,1842,1193,4832,3915,2508,3407,3691,1754
Mexico,Grupo Médica Sur,23559,1736,1001,993,1595,3928,2581,570,871,1368,3630,3026,662
Russia,Russian Children's Hospital Moscow,39539,2773,2188,2842,3091,1928,4012,3233,4192,5023,3182,4350,4675
Japan,National Hospital Organization,25930,1710,1943,3057,3437,1318,1182,4237,2068,3234,4311,2502,1641
United States,Cleveland Clinic,32252,2166,2392,4743,2294,4278,1675,2492,4261,1378,1856,1673,3584
Mexico,Grupo Médica Sur,38931,4226,3183,4142,2991,2098,4270,3762,3674,2267,3521,5107,4691
United Kingdom,Royal Berkshire NHS Foundation Trust,38268,1384,4121,1673,1155,2960,1777,1781,4917,1245,3467,3891,2706
Mexico,Grupo Médica Sur,28693,978,779,1857,1102,2507,2623,4516,4064,2574,2686,4595,1367
India,AIIMS Delhi,26055,1808,1143,751,1939,2908,1125,981,1320,1289,1551,3626,2356
Italy,Istituto Oncologico Veneto,33849,713,3381,3760,2909,1101,2082,779,2500,3212,4578,813,606
United States,Cleveland Clinic,33054,2467,3063,3068,3209,3634,1524,3607,2660,3995,2356,4054,4310
Australia,Royal Children's Hospital,40303,3987,2859,2896,657,3535,4481,3729,4551,3205,4261,1677,3359
United States,Cleveland Clinic,34151,4499,1398,3397,2025,3371,4043,3311,3441,2394,3725,3394,4293
Bangladesh,Apollo Hospital Dhaka,38938,4246,2091,2920,1774,2680,3260,4408,2924,2157,2545,1779,3923
Russia,Russian Children's Hospital Moscow,38255,4802,3383,2353,2326,5067,5533,474,1767,2632,3188,2296,1947
United States,Cleveland Clinic,26848,1460,1787,1473,2502,3662,1953,5451,3411,2170,1500,2523,568
Germany,University Clinic Heidelberg,30151,1561,1073,1895,4052,2988,2733,821,3877,2772,3756,4455,448
United States,Cleveland Clinic,42115,2003,1775,2206,1412,5223,5294,4083,3148,1633,2399,4045,1656
United States,Cleveland Clinic,37046,2422,1007,1832,2740,5501,3841,5818,4370,2391,2042,3616,1945
Germany,University Clinic Heidelberg,27939,3573,2571,2607,2251,3009,2911,3673,4301,1503,3343,3056,2608
Russia,Russian Children's Hospital Moscow,23736,3172,2098,1156,841,4776,3170,1025,2067,2898,1098,4477,2917
Brazil,INCA Instituto Nacional de Câncer,38045,1274,3259,3503,3221,4744,1364,2835,4294,3705,2568,3122,3532
Australia,Royal Children's Hospital,35782,2306,4790,4917,1290,1180,2440,4173,4203,2412,2831,2983,2933
Bangladesh,Apollo Hospital Dhaka,31120,4374,1872,2331,3378,1384,2745,1222,2993,1355,413,2095,3125
India,AIIMS Delhi,29385,1409,3074,1024,2086,3926,2725,2042,768,3263,1446,1304,1951
India,AIIMS Delhi,47268,3126,3515,4058,2978,2746,1098,4621,2568,3232,2334,2833,3960
Japan,National Hospital Organization,30257,1890,5130,4470,1410,2310,2184,4502,2409,5457,4271,1377,3522
United States,Cleveland Clinic,40733,4912,3036,4006,3326,2258,2247,4027,1214,5272,4311,843,4354
Israel,Tel Aviv Sourasky Medical Center,36422,4164,4793,4001,1365,3561,4573,3416,1734,2160,1503,2009,2592
United Arab Emirates,American Hospital,25891,3118,1994,1279,2862,2242,3299,5624,5364,3054,3688,5820,1574
Australia,Royal Children's Hospital,30631,2173,1618,2986,1619,2102,5115,5455,4253,521,3910,4686,2472
South Africa,Netcare Group,27750,3616,3737,2184,1645,2375,1324,2648,2439,1815,3293,3733,4203
Mexico,Grupo Médica Sur,34690,3286,1247,3561,3195,2311,1911,3224,3077,3179,2705,5136,1968
Russia,Russian Children's Hospital Moscow,40951,4199,3469,1516,3652,2288,2784,1854,3519,3379,1946,2944,3765
South Africa,Netcare Group,38411,1195,2798,4324,2806,2029,4205,4919,1394,2297,5072,2531,3564
South Africa,Netcare Group,43677,2725,3604,4360,3343,2796,2144,2147,2520,4751,3806,2496,2310
Brazil,INCA Instituto Nacional de Câncer,34257,1187,1263,4196,1511,2306,1570,2375,4366,1580,3554,984,3103
United States,Cleveland Clinic,41155,5363,3471,2722,1382,3419,3477,5663,2733,2309,345,1692,3506
Israel,Tel Aviv Sourasky Medical Center,31918,3121,1941,4018,2669,1205,1250,4343,3479,3331,1537,2509,4286
Russia,Russian Children's Hospital Moscow,31575,2930,2513,815,2719,1940,4296,494,3979,3394,1629,3038,1512
Germany,University Clinic Heidelberg,27257,1979,1523,3480,3860,997,1921,1462,3990,3296,4561,3458,33
France,Assistance Publique Hôpitaux de Paris,32088,1789,1733,3272,1153,2047,3578,2395,2939,1854,5114,2780,5139
Saudi Arabia,King Faisal Specialist Hospital & Research Centre,33874,4435,2374,2512,1258,4672,5517,3348,2162,2802,1994,2439,3593
United Arab Emirates,American Hospital,40440,1549,2278,4989,2604,4241,1355,3148,4788,3366,2441,2541,4000
India,AIIMS Delhi,27897,2037,1000,2466,2548,4843,2676,5171,2458,4009,2272,3345,480
Bangladesh,Apollo Hospital Dhaka,32643,5304,3447,2651,2658,2614,2156,4676,1198,3800,4742,3420,4010
United Kingdom,Royal Berkshire NHS Foundation Trust,38919,1193,2106,1277,80,2806,2091,4544,4976,1520,3164,2378,1207
Germany,University Clinic Heidelberg,39283,3074,5225,3274,4033,2574,2132,4142,5822,4270,4046,4925,4281
